UserID;Country;Group
261;US;Control
262;EU;Control
263;NA;Control
264;SEA;Control
265;US;Target
266;EU;Target
267;NA;Target
268;SEA;Target
269;US;Control
270;EU;Control
271;NA;Control
272;SEA;Control
273;US;Target
274;EU;Target
275;NA;Target
276;SEA;Target
277;US;Control
278;EU;Control
279;NA;Control
280;SEA;Control
281;US;Target
282;EU;Target
283;NA;Target
284;SEA;Target
285;US;Control
286;EU;Control
287;NA;Control
288;SEA;Control
289;US;Target
290;EU;Target
291;NA;Target
292;SEA;Target
293;US;Control
294;EU;Control
295;NA;Control
296;SEA;Control
297;US;Target
298;EU;Target
299;NA;Target
300;SEA;Target
301;US;Control
302;EU;Control
303;NA;Control
304;SEA;Control
305;US;Target
306;EU;Target
307;NA;Target
308;SEA;Target
309;US;Control
310;EU;Control
311;NA;Control
312;SEA;Control
313;US;Target
314;EU;Target
315;NA;Target
316;SEA;Target
317;US;Control
318;EU;Control
319;NA;Control
320;SEA;Control
321;US;Target
322;EU;Target
323;NA;Target
324;SEA;Target
325;US;Control
326;EU;Control
327;NA;Control
328;SEA;Control
329;US;Target
330;EU;Target
331;NA;Target
332;SEA;Target
333;US;Control
334;EU;Control
335;NA;Control
336;SEA;Control
337;US;Target
338;EU;Target
339;NA;Target
340;SEA;Target
341;US;Control
342;EU;Control
343;NA;Control
344;SEA;Control
345;US;Target
346;EU;Target
347;NA;Target
348;SEA;Target
349;US;Control
350;EU;Control
351;NA;Control
352;SEA;Control
353;US;Target
354;EU;Target
355;NA;Target
356;SEA;Target
357;US;Control
358;EU;Control
359;NA;Control
360;SEA;Control
361;US;Target
362;EU;Target
363;NA;Target
364;SEA;Target
365;US;Control
366;EU;Control
367;NA;Control
368;SEA;Control
369;US;Target
370;EU;Target
371;NA;Target
372;SEA;Target
373;US;Control
374;EU;Control
375;NA;Control
376;SEA;Control
377;US;Target
378;EU;Target
379;NA;Target
380;SEA;Target
381;US;Control
382;EU;Control
383;NA;Control
384;SEA;Control
385;US;Target
386;EU;Target
387;NA;Target
388;SEA;Target
389;US;Control
390;EU;Control
391;NA;Control
392;SEA;Control
393;US;Target
394;EU;Target
395;NA;Target
396;SEA;Target
397;US;Control
398;EU;Control
399;NA;Control
400;SEA;Control
401;US;Target
402;EU;Target
403;NA;Target
404;SEA;Target
405;US;Control
406;EU;Control
407;NA;Control
408;SEA;Control
409;US;Target
410;EU;Target
411;NA;Target
412;SEA;Target
413;US;Control
414;EU;Control
415;NA;Control
416;SEA;Control
417;US;Target
418;EU;Target
419;NA;Target
420;SEA;Target
421;US;Control
422;EU;Control
423;NA;Control
424;SEA;Control
425;US;Target
426;EU;Target
427;NA;Target
428;SEA;Target
429;US;Control
430;EU;Control
431;NA;Control
432;SEA;Control
433;US;Target
434;EU;Target
435;NA;Target
436;SEA;Target
437;US;Control
438;EU;Control
439;NA;Control
440;SEA;Control
441;US;Target
442;EU;Target
443;NA;Target
444;SEA;Target
445;US;Control
446;EU;Control
447;NA;Control
448;SEA;Control
449;US;Target
450;EU;Target
451;NA;Target
452;SEA;Target
453;US;Control
454;EU;Control
455;NA;Control
456;SEA;Control
457;US;Target
458;EU;Target
459;NA;Target
460;SEA;Target
461;US;Control
462;EU;Control
463;NA;Control
464;SEA;Control
465;US;Target
466;EU;Target
467;NA;Target
468;SEA;Target
469;US;Control
470;EU;Control
471;NA;Control
472;SEA;Control
473;US;Target
474;EU;Target
475;NA;Target
476;SEA;Target
477;US;Control
478;EU;Control
479;NA;Control
480;SEA;Control
481;US;Target
482;EU;Target
483;NA;Target
484;SEA;Target
485;US;Control
486;EU;Control
487;NA;Control
488;SEA;Control
489;US;Target
490;EU;Target
491;NA;Target
492;SEA;Target
493;US;Control
494;EU;Control
495;NA;Control
496;SEA;Control
497;US;Target
498;EU;Target
499;NA;Target
500;SEA;Target
501;US;Control
502;EU;Control
503;NA;Control
504;SEA;Control
505;US;Target
506;EU;Target
507;NA;Target
508;SEA;Target
509;US;Control
510;EU;Control
511;NA;Control
512;SEA;Control
513;US;Target
514;EU;Target
515;NA;Target
516;SEA;Target
517;US;Control
518;EU;Control
519;NA;Control
520;SEA;Control
521;US;Target
522;EU;Target
523;NA;Target
524;SEA;Target
525;US;Control
526;EU;Control
527;NA;Control
528;SEA;Control
529;US;Target
530;EU;Target
531;NA;Target
532;SEA;Target
533;US;Control
534;EU;Control
535;NA;Control
536;SEA;Control
537;US;Target
538;EU;Target
539;NA;Target
540;SEA;Target
541;US;Control
542;EU;Control
543;NA;Control
544;SEA;Control
545;US;Target
546;EU;Target
547;NA;Target
548;SEA;Target
549;US;Control
550;EU;Control
551;NA;Control
552;SEA;Control
553;US;Target
554;EU;Target
555;NA;Target
556;SEA;Target
557;US;Control
558;EU;Control
559;NA;Control
560;SEA;Control
561;US;Target
562;EU;Target
563;NA;Target
564;SEA;Target
565;US;Control
566;EU;Control
567;NA;Control
568;SEA;Control
569;US;Target
570;EU;Target
571;NA;Target
572;SEA;Target
573;US;Control
574;EU;Control
575;NA;Control
576;SEA;Control
577;US;Target
578;EU;Target
579;NA;Target
580;SEA;Target
581;US;Control
582;EU;Control
583;NA;Control
584;SEA;Control
585;US;Target
586;EU;Target
587;NA;Target
588;SEA;Target
589;US;Control
590;EU;Control
591;NA;Control
592;SEA;Control
593;US;Target
594;EU;Target
595;NA;Target
596;SEA;Target
597;US;Control
598;EU;Control
599;NA;Control
600;SEA;Control
601;US;Target
602;EU;Target
603;NA;Target
604;SEA;Target
605;US;Control
606;EU;Control
607;NA;Control
608;SEA;Control
609;US;Target
610;EU;Target
611;NA;Target
612;SEA;Target
613;US;Control
614;EU;Control
615;NA;Control
616;SEA;Control
617;US;Target
618;EU;Target
619;NA;Target
620;SEA;Target
621;US;Control
622;EU;Control
623;NA;Control
624;SEA;Control
625;US;Target
626;EU;Target
627;NA;Target
628;SEA;Target
629;US;Control
630;EU;Control
631;NA;Control
632;SEA;Control
633;US;Target
634;EU;Target
635;NA;Target
636;SEA;Target
637;US;Control
638;EU;Control
639;NA;Control
640;SEA;Control
641;US;Target
642;EU;Target
643;NA;Target
644;SEA;Target
645;US;Control
646;EU;Control
647;NA;Control
648;SEA;Control
649;US;Target
650;EU;Target
651;NA;Target
652;SEA;Target
653;US;Control
654;EU;Control
655;NA;Control
656;SEA;Control
657;US;Target
658;EU;Target
659;NA;Target
660;SEA;Target
661;US;Control
662;EU;Control
663;NA;Control
664;SEA;Control
665;US;Target
666;EU;Target
667;NA;Target
668;SEA;Target
669;US;Control
670;EU;Control
671;NA;Control
672;SEA;Control
673;US;Target
674;EU;Target
675;NA;Target
676;SEA;Target
677;US;Control
678;EU;Control
679;NA;Control
680;SEA;Control
681;US;Target
682;EU;Target
683;NA;Target
684;SEA;Target
685;US;Control
686;EU;Control
687;NA;Control
688;SEA;Control
689;US;Target
690;EU;Target
691;NA;Target
692;SEA;Target
693;US;Control
694;EU;Control
695;NA;Control
696;SEA;Control
697;US;Target
698;EU;Target
699;NA;Target
700;SEA;Target
701;US;Control
702;EU;Control
703;NA;Control
704;SEA;Control
705;US;Target
706;EU;Target
707;NA;Target
708;SEA;Target
709;US;Control
710;EU;Control
711;NA;Control
712;SEA;Control
713;US;Target
714;EU;Target
715;NA;Target
716;SEA;Target
717;US;Control
718;EU;Control
719;NA;Control
720;SEA;Control
721;US;Target
722;EU;Target
723;NA;Target
724;SEA;Target
725;US;Control
726;EU;Control
727;NA;Control
728;SEA;Control
729;US;Target
730;EU;Target
731;NA;Target
732;SEA;Target
733;US;Control
734;EU;Control
735;NA;Control
736;SEA;Control
737;US;Target
738;EU;Target
739;NA;Target
740;SEA;Target
741;US;Control
742;EU;Control
743;NA;Control
744;SEA;Control
745;US;Target
746;EU;Target
747;NA;Target
748;SEA;Target
749;US;Control
750;EU;Control
751;NA;Control
752;SEA;Control
753;US;Target
754;EU;Target
755;NA;Target
756;SEA;Target
757;US;Control
758;EU;Control
759;NA;Control
760;SEA;Control
761;US;Target
762;EU;Target
763;NA;Target
764;SEA;Target
765;US;Control
766;EU;Control
767;NA;Control
768;SEA;Control
769;US;Target
770;EU;Target
771;NA;Target
772;SEA;Target
773;US;Control
774;EU;Control
775;NA;Control
776;SEA;Control
777;US;Target
778;EU;Target
779;NA;Target
780;SEA;Target
781;US;Control
782;EU;Control
783;NA;Control
784;SEA;Control
785;US;Target
786;EU;Target
787;NA;Target
788;SEA;Target
789;US;Control
790;EU;Control
791;NA;Control
792;SEA;Control
793;US;Target
794;EU;Target
795;NA;Target
796;SEA;Target
797;US;Control
798;EU;Control
799;NA;Control
800;SEA;Control
801;US;Target
802;EU;Target
803;NA;Target
804;SEA;Target
805;US;Control
806;EU;Control
807;NA;Control
808;SEA;Control
809;US;Target
810;EU;Target
811;NA;Target
812;SEA;Target
813;US;Control
814;EU;Control
815;NA;Control
816;SEA;Control
817;US;Target
818;EU;Target
819;NA;Target
820;SEA;Target
821;US;Control
822;EU;Control
823;NA;Control
824;SEA;Control
825;US;Target
826;EU;Target
827;NA;Target
828;SEA;Target
829;US;Control
830;EU;Control
831;NA;Control
832;SEA;Control
833;US;Target
834;EU;Target
835;NA;Target
836;SEA;Target
837;US;Control
838;EU;Control
839;NA;Control
840;SEA;Control
841;US;Target
842;EU;Target
843;NA;Target
844;SEA;Target
845;US;Control
846;EU;Control
847;NA;Control
848;SEA;Control
849;US;Target
850;EU;Target
851;NA;Target
852;SEA;Target
853;US;Control
854;EU;Control
855;NA;Control
856;SEA;Control
857;US;Target
858;EU;Target
859;NA;Target
860;SEA;Target
861;US;Control
862;EU;Control
863;NA;Control
864;SEA;Control
865;US;Target
866;EU;Target
867;NA;Target
868;SEA;Target
869;US;Control
870;EU;Control
871;NA;Control
872;SEA;Control
873;US;Target
874;EU;Target
875;NA;Target
876;SEA;Target
877;US;Control
878;EU;Control
879;NA;Control
880;SEA;Control
881;US;Target
882;EU;Target
883;NA;Target
884;SEA;Target
885;US;Control
886;EU;Control
887;NA;Control
888;SEA;Control
889;US;Target
890;EU;Target
891;NA;Target
892;SEA;Target
893;US;Control
894;EU;Control
895;NA;Control
896;SEA;Control
897;US;Target
898;EU;Target
899;NA;Target
900;SEA;Target
901;US;Control
902;EU;Control
903;NA;Control
904;SEA;Control
905;US;Target
906;EU;Target
907;NA;Target
908;SEA;Target
909;US;Control
910;EU;Control
911;NA;Control
912;SEA;Control
913;US;Target
914;EU;Target
915;NA;Target
916;SEA;Target
917;US;Control
918;EU;Control
919;NA;Control
920;SEA;Control
921;US;Target
922;EU;Target
923;NA;Target
924;SEA;Target
925;US;Control
926;EU;Control
927;NA;Control
928;SEA;Control
929;US;Target
930;EU;Target
931;NA;Target
932;SEA;Target
933;US;Control
934;EU;Control
935;NA;Control
936;SEA;Control
937;US;Target
938;EU;Target
939;NA;Target
940;SEA;Target
941;US;Control
942;EU;Control
943;NA;Control
944;SEA;Control
945;US;Target
946;EU;Target
947;NA;Target
948;SEA;Target
949;US;Control
950;EU;Control
951;NA;Control
952;SEA;Control
953;US;Target
954;EU;Target
955;NA;Target
956;SEA;Target
957;US;Control
958;EU;Control
959;NA;Control
960;SEA;Control
961;US;Target
962;EU;Target
963;NA;Target
964;SEA;Target
965;US;Control
966;EU;Control
967;NA;Control
968;SEA;Control
969;US;Target
970;EU;Target
971;NA;Target
972;SEA;Target
973;US;Control
974;EU;Control
975;NA;Control
976;SEA;Control
977;US;Target
978;EU;Target
979;NA;Target
980;SEA;Target
981;US;Control
982;EU;Control
983;NA;Control
984;SEA;Control
985;US;Target
986;EU;Target
987;NA;Target
988;SEA;Target
989;US;Control
990;EU;Control
991;NA;Control
992;SEA;Control
993;US;Target
994;EU;Target
995;NA;Target
996;SEA;Target
997;US;Control
998;EU;Control
999;NA;Control
1000;SEA;Control
1001;US;Target
1002;EU;Target
1003;NA;Target
1004;SEA;Target
1005;US;Control
1006;EU;Control
1007;NA;Control
1008;SEA;Control
1009;US;Target
1010;EU;Target
1011;NA;Target
1012;SEA;Target
1013;US;Control
1014;EU;Control
1015;NA;Control
1016;SEA;Control
1017;US;Target
1018;EU;Target
1019;NA;Target
1020;SEA;Target
1021;US;Control
1022;EU;Control
1023;NA;Control
1024;SEA;Control
1025;US;Target
1026;EU;Target
1027;NA;Target
1028;SEA;Target
1029;US;Control
1030;EU;Control
1031;NA;Control
1032;SEA;Control
1033;US;Target
1034;EU;Target
1035;NA;Target
1036;SEA;Target
1037;US;Control
1038;EU;Control
1039;NA;Control
1040;SEA;Control
1041;US;Target
1042;EU;Target
1043;NA;Target
1044;SEA;Target
1045;US;Control
1046;EU;Control
1047;NA;Control
1048;SEA;Control
1049;US;Target
1050;EU;Target
1051;NA;Target
1052;SEA;Target
1053;US;Control
1054;EU;Control
1055;NA;Control
1056;SEA;Control
1057;US;Target
1058;EU;Target
1059;NA;Target
1060;SEA;Target
1061;US;Control
1062;EU;Control
1063;NA;Control
1064;SEA;Control
1065;US;Target
1066;EU;Target
1067;NA;Target
1068;SEA;Target
1069;US;Control
1070;EU;Control
1071;NA;Control
1072;SEA;Control
1073;US;Target
1074;EU;Target
1075;NA;Target
1076;SEA;Target
1077;US;Control
1078;EU;Control
1079;NA;Control
1080;SEA;Control
1081;US;Target
1082;EU;Target
1083;NA;Target
1084;SEA;Target
1085;US;Control
1086;EU;Control
1087;NA;Control
1088;SEA;Control
1089;US;Target
1090;EU;Target
1091;NA;Target
1092;SEA;Target
1093;US;Control
1094;EU;Control
1095;NA;Control
1096;SEA;Control
1097;US;Target
1098;EU;Target
1099;NA;Target
1100;SEA;Target
1101;US;Control
1102;EU;Control
1103;NA;Control
1104;SEA;Control
1105;US;Target
1106;EU;Target
1107;NA;Target
1108;SEA;Target
1109;US;Control
1110;EU;Control
1111;NA;Control
1112;SEA;Control
1113;US;Target
1114;EU;Target
1115;NA;Target
1116;SEA;Target
1117;US;Control
1118;EU;Control
1119;NA;Control
1120;SEA;Control
1121;US;Target
1122;EU;Target
1123;NA;Target
1124;SEA;Target
1125;US;Control
1126;EU;Control
1127;NA;Control
1128;SEA;Control
1129;US;Target
1130;EU;Target
1131;NA;Target
1132;SEA;Target
1133;US;Control
1134;EU;Control
1135;NA;Control
1136;SEA;Control
1137;US;Target
1138;EU;Target
1139;NA;Target
1140;SEA;Target
1141;US;Control
1142;EU;Control
1143;NA;Control
1144;SEA;Control
1145;US;Target
1146;EU;Target
1147;NA;Target
1148;SEA;Target
1149;US;Control
1150;EU;Control
1151;NA;Control
1152;SEA;Control
1153;US;Target
1154;EU;Target
1155;NA;Target
1156;SEA;Target
1157;US;Control
1158;EU;Control
1159;NA;Control
1160;SEA;Control
1161;US;Target
1162;EU;Target
1163;NA;Target
1164;SEA;Target
1165;US;Control
1166;EU;Control
1167;NA;Control
1168;SEA;Control
1169;US;Target
1170;EU;Target
1171;NA;Target
1172;SEA;Target
1173;US;Control
1174;EU;Control
1175;NA;Control
1176;SEA;Control
1177;US;Target
1178;EU;Target
1179;NA;Target
1180;SEA;Target
1181;US;Control
1182;EU;Control
1183;NA;Control
1184;SEA;Control
1185;US;Target
1186;EU;Target
1187;NA;Target
1188;SEA;Target
1189;US;Control
1190;EU;Control
1191;NA;Control
1192;SEA;Control
1193;US;Target
1194;EU;Target
1195;NA;Target
1196;SEA;Target
1197;US;Control
1198;EU;Control
1199;NA;Control
1200;SEA;Control
1201;US;Target
1202;EU;Target
1203;NA;Target
1204;SEA;Target
1205;US;Control
1206;EU;Control
1207;NA;Control
1208;SEA;Control
1209;US;Target
1210;EU;Target
1211;NA;Target
1212;SEA;Target
1213;US;Control
1214;EU;Control
1215;NA;Control
1216;SEA;Control
1217;US;Target
1218;EU;Target
1219;NA;Target
1220;SEA;Target
1221;US;Control
1222;EU;Control
1223;NA;Control
1224;SEA;Control
1225;US;Target
1226;EU;Target
1227;NA;Target
1228;SEA;Target
1229;US;Control
1230;EU;Control
1231;NA;Control
1232;SEA;Control
1233;US;Target
1234;EU;Target
1235;NA;Target
1236;SEA;Target
1237;US;Control
1238;EU;Control
1239;NA;Control
1240;SEA;Control
1241;US;Target
1242;EU;Target
1243;NA;Target
1244;SEA;Target
1245;US;Control
1246;EU;Control
1247;NA;Control
1248;SEA;Control
1249;US;Target
1250;EU;Target
1251;NA;Target
1252;SEA;Target
1253;US;Control
1254;EU;Control
1255;NA;Control
1256;SEA;Control
1257;US;Target
1258;EU;Target
1259;NA;Target
1260;SEA;Target
1261;US;Control
1262;EU;Control
1263;NA;Control
1264;SEA;Control
1265;US;Target
1266;EU;Target
1267;NA;Target
1268;SEA;Target
1269;US;Control
1270;EU;Control
1271;NA;Control
1272;SEA;Control
1273;US;Target
1274;EU;Target
1275;NA;Target
1276;SEA;Target
1277;US;Control
1278;EU;Control
1279;NA;Control
1280;SEA;Control
1281;US;Target
1282;EU;Target
1283;NA;Target
1284;SEA;Target
1285;US;Control
1286;EU;Control
1287;NA;Control
1288;SEA;Control
1289;US;Target
1290;EU;Target
1291;NA;Target
1292;SEA;Target
1293;US;Control
1294;EU;Control
1295;NA;Control
1296;SEA;Control
1297;US;Target
1298;EU;Target
1299;NA;Target
1300;SEA;Target
1301;US;Control
1302;EU;Control
1303;NA;Control
1304;SEA;Control
1305;US;Target
1306;EU;Target
1307;NA;Target
1308;SEA;Target
1309;US;Control
1310;EU;Control
1311;NA;Control
1312;SEA;Control
1313;US;Target
1314;EU;Target
1315;NA;Target
1316;SEA;Target
1317;US;Control
1318;EU;Control
1319;NA;Control
1320;SEA;Control
1321;US;Target
1322;EU;Target
1323;NA;Target
1324;SEA;Target
1325;US;Control
1326;EU;Control
1327;NA;Control
1328;SEA;Control
1329;US;Target
1330;EU;Target
1331;NA;Target
1332;SEA;Target
1333;US;Control
1334;EU;Control
1335;NA;Control
1336;SEA;Control
1337;US;Target
1338;EU;Target
1339;NA;Target
1340;SEA;Target
1341;US;Control
1342;EU;Control
1343;NA;Control
1344;SEA;Control
1345;US;Target
1346;EU;Target
1347;NA;Target
1348;SEA;Target
1349;US;Control
1350;EU;Control
1351;NA;Control
1352;SEA;Control
1353;US;Target
1354;EU;Target
1355;NA;Target
1356;SEA;Target
1357;US;Control
1358;EU;Control
1359;NA;Control
1360;SEA;Control
1361;US;Target
1362;EU;Target
1363;NA;Target
1364;SEA;Target
1365;US;Control
1366;EU;Control
1367;NA;Control
1368;SEA;Control
1369;US;Target
1370;EU;Target
1371;NA;Target
1372;SEA;Target
1373;US;Control
1374;EU;Control
1375;NA;Control
1376;SEA;Control
1377;US;Target
1378;EU;Target
1379;NA;Target
1380;SEA;Target
1381;US;Control
1382;EU;Control
1383;NA;Control
1384;SEA;Control
1385;US;Target
1386;EU;Target
1387;NA;Target
1388;SEA;Target
1389;US;Control
1390;EU;Control
1391;NA;Control
1392;SEA;Control
1393;US;Target
1394;EU;Target
1395;NA;Target
1396;SEA;Target
1397;US;Control
1398;EU;Control
1399;NA;Control
1400;SEA;Control
1401;US;Target
1402;EU;Target
1403;NA;Target
1404;SEA;Target
1405;US;Control
1406;EU;Control
1407;NA;Control
1408;SEA;Control
1409;US;Target
1410;EU;Target
1411;NA;Target
1412;SEA;Target
1413;US;Control
1414;EU;Control
1415;NA;Control
1416;SEA;Control
1417;US;Target
1418;EU;Target
1419;NA;Target
1420;SEA;Target
1421;US;Control
1422;EU;Control
1423;NA;Control
1424;SEA;Control
1425;US;Target
1426;EU;Target
1427;NA;Target
1428;SEA;Target
1429;US;Control
1430;EU;Control
1431;NA;Control
1432;SEA;Control
1433;US;Target
1434;EU;Target
1435;NA;Target
1436;SEA;Target
1437;US;Control
1438;EU;Control
1439;NA;Control
1440;SEA;Control
1441;US;Target
1442;EU;Target
1443;NA;Target
1444;SEA;Target
1445;US;Control
1446;EU;Control
1447;NA;Control
1448;SEA;Control
1449;US;Target
1450;EU;Target
1451;NA;Target
1452;SEA;Target
1453;US;Control
1454;EU;Control
1455;NA;Control
1456;SEA;Control
1457;US;Target
1458;EU;Target
1459;NA;Target
1460;SEA;Target
1461;US;Control
1462;EU;Control
1463;NA;Control
1464;SEA;Control
1465;US;Target
1466;EU;Target
1467;NA;Target
1468;SEA;Target
1469;US;Control
1470;EU;Control
1471;NA;Control
1472;SEA;Control
1473;US;Target
1474;EU;Target
1475;NA;Target
1476;SEA;Target
1477;US;Control
1478;EU;Control
1479;NA;Control
1480;SEA;Control
1481;US;Target
1482;EU;Target
1483;NA;Target
1484;SEA;Target
1485;US;Control
1486;EU;Control
1487;NA;Control
1488;SEA;Control
1489;US;Target
1490;EU;Target
1491;NA;Target
1492;SEA;Target
1493;US;Control
1494;EU;Control
1495;NA;Control
1496;SEA;Control
1497;US;Target
1498;EU;Target
1499;NA;Target
1500;SEA;Target
1501;US;Control
1502;EU;Control
1503;NA;Control
1504;SEA;Control
1505;US;Target
1506;EU;Target
1507;NA;Target
1508;SEA;Target
1509;US;Control
1510;EU;Control
1511;NA;Control
1512;SEA;Control
1513;US;Target
1514;EU;Target
1515;NA;Target
1516;SEA;Target
1517;US;Control
1518;EU;Control
1519;NA;Control
1520;SEA;Control
1521;US;Target
1522;EU;Target
1523;NA;Target
1524;SEA;Target
1525;US;Control
1526;EU;Control
1527;NA;Control
1528;SEA;Control
1529;US;Target
1530;EU;Target
1531;NA;Target
1532;SEA;Target
1533;US;Control
1534;EU;Control
1535;NA;Control
1536;SEA;Control
1537;US;Target
1538;EU;Target
1539;NA;Target
1540;SEA;Target
1541;US;Control
1542;EU;Control
1543;NA;Control
1544;SEA;Control
1545;US;Target
1546;EU;Target
1547;NA;Target
1548;SEA;Target
1549;US;Control
1550;EU;Control
1551;NA;Control
1552;SEA;Control
1553;US;Target
1554;EU;Target
1555;NA;Target
1556;SEA;Target
1557;US;Control
1558;EU;Control
1559;NA;Control
1560;SEA;Control
1561;US;Target
1562;EU;Target
1563;NA;Target
1564;SEA;Target
1565;US;Control
1566;EU;Control
1567;NA;Control
1568;SEA;Control
1569;US;Target
1570;EU;Target
1571;NA;Target
1572;SEA;Target
1573;US;Control
1574;EU;Control
1575;NA;Control
1576;SEA;Control
1577;US;Target
1578;EU;Target
1579;NA;Target
1580;SEA;Target
1581;US;Control
1582;EU;Control
1583;NA;Control
1584;SEA;Control
1585;US;Target
1586;EU;Target
1587;NA;Target
1588;SEA;Target
1589;US;Control
1590;EU;Control
1591;NA;Control
1592;SEA;Control
1593;US;Target
1594;EU;Target
1595;NA;Target
1596;SEA;Target
1597;US;Control
1598;EU;Control
1599;NA;Control
1600;SEA;Control
1601;US;Target
1602;EU;Target
1603;NA;Target
1604;SEA;Target
1605;US;Control
1606;EU;Control
1607;NA;Control
1608;SEA;Control
1609;US;Target
1610;EU;Target
1611;NA;Target
1612;SEA;Target
1613;US;Control
1614;EU;Control
1615;NA;Control
1616;SEA;Control
1617;US;Target
1618;EU;Target
1619;NA;Target
1620;SEA;Target
1621;US;Control
1622;EU;Control
1623;NA;Control
1624;SEA;Control
1625;US;Target
1626;EU;Target
1627;NA;Target
1628;SEA;Target
1629;US;Control
1630;EU;Control
1631;NA;Control
1632;SEA;Control
1633;US;Target
1634;EU;Target
1635;NA;Target
1636;SEA;Target
1637;US;Control
1638;EU;Control
1639;NA;Control
1640;SEA;Control
1641;US;Target
1642;EU;Target
1643;NA;Target
1644;SEA;Target
1645;US;Control
1646;EU;Control
1647;NA;Control
1648;SEA;Control
1649;US;Target
1650;EU;Target
1651;NA;Target
1652;SEA;Target
1653;US;Control
1654;EU;Control
1655;NA;Control
1656;SEA;Control
1657;US;Target
1658;EU;Target
1659;NA;Target
1660;SEA;Target
1661;US;Control
1662;EU;Control
1663;NA;Control
1664;SEA;Control
